obj_regio1,obj_newlyConst,obj_yearConstructed,obj_firingTypes,obj_cellar,obj_houseNumber,obj_livingSpace,geo_krs,obj_condition,obj_street,geo_plz,obj_noRooms,obj_telekomInternetProductAvailable,obj_barrierFree,obj_regio3,obj_livingSpaceRange,obj_telekomUploadSpeed,obj_telekomDownloadSpeed,obj_purchasePrice,obj_purchasePrice_per_qm
Niedersachsen,n,1848.0,gas,n,9,190.0,Lüchow_Dannenberg_Kreis,no_information,Springstra&szlig;e,29471.0,9.0,True,n,other,6.0,5.0,25.0,140000.0,736.8421052631579
Niedersachsen,n,1999.0,gas,n,no_information,202.0,Aurich_Kreis,no_information,no_information,26629.0,7.0,True,y,Großefehn,6.0,2.4,16.0,379000.0,1876.2376237623762
Niedersachsen,n,1910.0,gas,y,no_information,180.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31787.0,7.0,True,n,Hameln,5.0,40.0,100.0,320000.0,1777.7777777777778
Niedersachsen,n,1974.0,oil,y,no_information,610.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31840.0,24.0,True,n,Hessisch_Oldendorf,8.0,2.4,16.0,1200000.0,1967.2131147540983
Niedersachsen,n,1980.0,gas,y,no_information,113.0,Schaumburg_Kreis,well_kept,no_information,31683.0,5.0,True,n,other,2.0,40.0,100.0,125000.0,1106.1946902654868
Niedersachsen,n,1978.0,oil,n,no_information,175.0,Cuxhaven_Kreis,well_kept,no_information,27628.0,5.0,True,n,other,5.0,2.4,16.0,325000.0,1857.142857142857
Niedersachsen,y,2020.0,,n,no_information,104.0,Celle_Kreis,first_time_use,no_information,29336.0,4.0,True,n,other,2.0,10.0,50.0,325000.0,3125.0
Niedersachsen,n,1956.0,oil,y,no_information,137.0,Osnabrück_Kreis,well_kept,no_information,49565.0,6.0,True,n,other,3.0,2.4,16.0,219000.0,1598.5401459854015
Niedersachsen,n,1967.0,district_heating,n,no_information,111.0,Wolfsburg,well_kept,no_information,38444.0,5.0,True,n,other,2.0,40.0,100.0,290000.0,2612.612612612613
Niedersachsen,n,1953.0,gas,y,no_information,102.0,Hannover_Kreis,fully_renovated,no_information,30916.0,5.0,True,n,Isernhagen,2.0,10.0,50.0,375000.0,3676.470588235294
Niedersachsen,n,1983.0,geothermal,n,no_information,149.0,Osterholz_Kreis,no_information,no_information,28865.0,6.0,True,n,Lilienthal,4.0,2.4,16.0,320000.0,2147.6510067114095
Niedersachsen,n,1977.0,gas,n,no_information,140.0,Osnabrück,fully_renovated,no_information,49076.0,4.0,True,n,other,3.0,,,359000.0,2564.285714285714
Niedersachsen,n,1933.0,oil,n,no_information,228.0,Wesermarsch_Kreis,well_kept,no_information,26349.0,8.0,True,n,Jade,7.0,2.4,16.0,353000.0,1548.2456140350878
Niedersachsen,n,1909.0,gas,n,no_information,209.0,Cuxhaven_Kreis,no_information,no_information,27628.0,8.0,True,n,other,6.0,2.4,16.0,198000.0,947.3684210526316
Niedersachsen,n,1955.0,gas,n,no_information,118.55,Leer_Kreis,need_of_renovation,no_information,26826.0,6.0,True,n,Weener,2.0,40.0,100.0,105000.0,885.7022353437368
