obj_regio1;obj_newlyConst;obj_yearConstructed;obj_firingTypes;obj_cellar;obj_houseNumber;obj_livingSpace;geo_krs;obj_condition;obj_street;geo_plz;obj_noRooms;obj_telekomInternetProductAvailable;obj_barrierFree;obj_regio3;obj_livingSpaceRange;obj_telekomUploadSpeed;obj_telekomDownloadSpeed;obj_purchasePrice;obj_purchasePrice_per_qm
Niedersachsen;n;1966.0;oil;y;14;131.0;Heidekreis;need_of_renovation;Am Anger;29699.0;7.0;True;n;other;3.0;40.0;100.0;198000.0;15.114.503.816.793.800
Niedersachsen;n;1969.0;gas;n;;162.0;Hannover;;;30659.0;6.0;True;n;other;5.0;40.0;100.0;670000.0;4.135.802.469.135.800
Niedersachsen;n;1955.0;gas;y;;200.0;Hameln_Pyrmont_Kreis;well_kept;;31848.0;06. Mai;True;n;Bad_Münder_am_Deister;6.0;10.0;50.0;279000.0;1395.0
Niedersachsen;n;1900.0;gas;y;;260.0;Gifhorn_Kreis;;;29378.0;9.0;True;n;Wittingen;7.0;02. Apr;16.0;249000.0;9.576.923.076.923.070
Niedersachsen;n;1974.0;gas;y;;169.0;Hannover_Kreis;well_kept;;30966.0;6.0;False;n;Hemmingen;5.0;;;420000.0;2.485.207.100.591.710
Niedersachsen;n;2012.0;gas;y;;191.0;Hameln_Pyrmont_Kreis;well_kept;;31840.0;6.0;True;n;Hessisch_Oldendorf;6.0;02. Apr;16.0;490000.0;25.654.450.261.780.100
Niedersachsen;n;1953.0;gas;y;;571.0;Salzgitter;well_kept;;38229.0;21.0;True;n;other;8.0;40.0;100.0;565000.0;989.492.119.089.317
Niedersachsen;n;1991.0;gas;y;;390.0;Gifhorn_Kreis;well_kept;;38518.0;12.0;True;y;Gifhorn;8.0;02. Apr;16.0;880000.0;22.564.102.564.102.500
Niedersachsen;n;1958.0;oil;n;;394.0;Osnabrück;;;49082.0;18.0;True;n;other;8.0;40.0;100.0;669000.0;1.697.969.543.147.200
Niedersachsen;n;1915.0;gas;y;;292.12;Aurich_Kreis;refurbished;;26529.0;8.0;True;n;other;8.0;;;499900.0;17.112.830.343.694.300
Niedersachsen;n;1983.0;liquid_gas;n;;150.0;Göttingen_Kreis;well_kept;;34346.0;5.0;True;n;other;4.0;02. Apr;16.0;219000.0;1460.0
Niedersachsen;n;1900.0;oil;n;;174.0;Osnabrück;;;49082.0;8.0;True;n;other;5.0;40.0;100.0;299000.0;17.183.908.045.977.000
Niedersachsen;n;1994.0;gas;n;;172.0;Emsland_Kreis;;;49777.0;6.0;True;n;other;5.0;02. Apr;16.0;229000.0;13.313.953.488.372.000
Niedersachsen;n;1986.0;gas;n;;160.0;Emsland_Kreis;;;49751.0;6.0;True;n;other;4.0;40.0;100.0;196000.0;1225.0
Niedersachsen;y;2020.0;solar_heating;n;;162.0;Emsland_Kreis;first_time_use;;49779.0;14.0;True;n;other;5.0;02. Apr;16.0;514276.0;3.174.543.209.876.540
Niedersachsen;y;2021.0;gas;n;4;800.55;Oldenburg_Oldenburg;mint_condition;Tannenkampstra&szlig;;;;;;;;;;
Niedersachsen;n;1996.0;oil;n;;260.0;Wolfenbüttel_Kreis;well_kept;;38173.0;7.0;True;n;other;7.0;02. Apr;16.0;450000.0;17.307.692.307.692.300
Niedersachsen;n;1980.0;gas;y;;172.0;Salzgitter;modernized;;38228.0;7.0;True;n;Lebenstedt;5.0;40.0;100.0;250000.0;14.534.883.720.930.200
Niedersachsen;n;2000.0;gas;n;;150.0;Delmenhorst;mint_condition;;27753.0;5.0;True;n;other;4.0;40.0;100.0;319000.0;21.266.666.666.666.600
Niedersachsen;n;1952.0;oil;y;;190.0;Hildesheim_Kreis;well_kept;;31079.0;7.0;True;n;other;6.0;02. Apr;16.0;155000.0;8.157.894.736.842.100
Niedersachsen;n;1964.0;gas;n;;147.5;Aurich_Kreis;fully_renovated;;26603.0;7.0;True;n;Aurich;4.0;02. Apr;16.0;295000.0;2000.0
Niedersachsen;n;2017.0;solar_heating:gas;n;;150.03;Cuxhaven_Kreis;mint_condition;;27628.0;4.0;False;n;other;4.0;;;429000.0;28.594.281.143.771.200
Niedersachsen;n;1986.0;gas;n;;142.0;Emden;well_kept;;26723.0;6.0;True;n;other;4.0;02. Apr;16.0;239000.0;16.830.985.915.492.900
